Population Amp SE
G|ui 0.00002699 0.00000271
G||ana 0.00004589 0.00000474
Taa_West 0.00002035 0.00000288
Taa_North 0.00002464 0.00000356
!Xuun 0.00002521 0.00000224
Taa_East 0.00002641 0.00000488
Naro 0.00002724 0.00000286
=Hoan 0.00002997 0.00000326
Ju|'hoan_South 0.00004099 0.00000261
Hai||om 0.00005095 0.00000343
Tshwa 0.00005523 0.00000356
Nama 0.00005774 0.00000395
MbutiPygmy 0.00006835 0.00000403
Khwe 0.00008561 0.00000470
Shua 0.00008640 0.00000554
Kgalagadi 0.00008726 0.00000564
BiakaPygmy 0.00008924 0.00000532
Tswana 0.00009855 0.00000574
BantuSouthAfrica 0.00012937 0.00000660
Himba 0.00014307 0.00000617
Damara 0.00014596 0.00000684
Mbukushu 0.00014880 0.00000718
Hadza 0.00014905 0.00000731
Wambo 0.00015169 0.00000775
BantuKenya 0.00015991 0.00000638
Yoruba 0.00016342 0.00000660
Mandenka 0.00016618 0.00000642
Dinka_Hammer 0.00017848 0.00000738
Melanesian 0.00027732 0.00001602
Papuan 0.00028565 0.00001842
Surui 0.00028943 0.00001798
Lahu 0.00029044 0.00001429
Colombian 0.00029046 0.00001561
Yi 0.00029261 0.00001352
Naxi 0.00029372 0.00001453
Japanese 0.00029416 0.00001283
Tujia 0.00029476 0.00001480
Xibo 0.00029500 0.00001395
Han-NChina 0.00029572 0.00001434
Han 0.00029599 0.00001227
Pima 0.00029637 0.00001602
Miao 0.00029639 0.00001453
Tu 0.00029641 0.00001354
Cambodian 0.00029662 0.00001309
Oroqen 0.00029662 0.00001467
Yakut 0.00029733 0.00001332
Daur 0.00029812 0.00001592
Hezhen 0.00029820 0.00001384
Mongola 0.00029847 0.00001421
Maya 0.00029863 0.00001602
Dai 0.00030114 0.00001549
She 0.00030200 0.00001288
Karitiana 0.00030336 0.00001834
Mozabite 0.00031006 0.00001605
Kalash 0.00031330 0.00001604
Hazara 0.00031540 0.00001508
Sindhi 0.00031770 0.00001793
Pathan 0.00031895 0.00001745
Uygur 0.00031924 0.00001728
Balochi 0.00032030 0.00001757
Burusho 0.00032049 0.00001715
Makrani 0.00032085 0.00001771
Brahui 0.00032356 0.00001810
Palestinian 0.00033137 0.00001818
Russian 0.00033647 0.00001858
Adygei 0.00033773 0.00001848
Bedouin 0.00033813 0.00001788
Druze 0.00034146 0.00001924
Tuscan 0.00034461 0.00002236
Orcadian 0.00034584 0.00001850
French 0.00034792 0.00001980
Sardinian 0.00034831 0.00002021
Basque 0.00034838 0.00001976
Italian 0.00034995 0.00001956
