Population Amp SE
G|ui 0.00001697 0.00000290
G||ana 0.00003121 0.00000316
Ju|'hoan_South 0.00001434 0.00000265
Naro 0.00001500 0.00000266
Taa_West 0.00001558 0.00000259
Ju|'hoan_North 0.00001565 0.00000281
Taa_North 0.00001626 0.00000262
!Xuun 0.00001726 0.00000279
MbutiPygmy 0.00001826 0.00000239
Taa_East 0.00002026 0.00000322
Nama 0.00002353 0.00000278
=Hoan 0.00002354 0.00000224
Hai||om 0.00002585 0.00000274
Tshwa 0.00003327 0.00000341
Khwe 0.00004320 0.00000374
Shua 0.00004352 0.00000418
Hadza 0.00005431 0.00000348
Kgalagadi 0.00005435 0.00000389
Tswana 0.00006138 0.00000473
Surui 0.00006879 0.00000945
Melanesian 0.00007099 0.00000602
BantuSouthAfrica 0.00007178 0.00000536
Maya 0.00007306 0.00000792
Colombian 0.00007335 0.00000890
Papuan 0.00007343 0.00000850
Mbukushu 0.00007507 0.00000549
Hezhen 0.00007534 0.00000845
Yakut 0.00007673 0.00000765
Mongola 0.00007684 0.00000946
Pima 0.00007689 0.00000765
Karitiana 0.00007717 0.00001051
Han 0.00007752 0.00000936
Japanese 0.00007789 0.00000841
Xibo 0.00007794 0.00000900
Orcadian 0.00007796 0.00000641
Oroqen 0.00007911 0.00000789
Sindhi 0.00007924 0.00000554
Lahu 0.00007982 0.00000987
Russian 0.00007984 0.00000566
French 0.00008001 0.00000593
Miao 0.00008004 0.00001034
Damara 0.00008006 0.00000460
She 0.00008010 0.00001005
Han-NChina 0.00008012 0.00000859
Burusho 0.00008030 0.00000617
Daur 0.00008052 0.00000815
Druze 0.00008063 0.00000588
Pathan 0.00008092 0.00000629
Tujia 0.00008105 0.00000938
Cambodian 0.00008116 0.00000978
Italian 0.00008117 0.00000610
Dinka_Hammer 0.00008137 0.00000506
Uygur 0.00008142 0.00000737
Dai 0.00008160 0.00000924
Hazara 0.00008225 0.00000801
Palestinian 0.00008238 0.00000597
BantuKenya 0.00008247 0.00000479
Balochi 0.00008255 0.00000693
Brahui 0.00008266 0.00000665
Basque 0.00008292 0.00000618
Adygei 0.00008305 0.00000710
Yi 0.00008368 0.00000885
Kalash 0.00008377 0.00000709
Tu 0.00008412 0.00000875
Naxi 0.00008423 0.00000919
Tuscan 0.00008455 0.00000637
Sardinian 0.00008456 0.00000607
Bedouin 0.00008495 0.00000586
Himba 0.00008506 0.00000447
Makrani 0.00008564 0.00000661
Wambo 0.00008792 0.00000571
Mandenka 0.00008973 0.00000478
Mozabite 0.00009027 0.00000498
Yoruba 0.00009830 0.00000493
